,author,title,description,url,source,category,country,published_at,isPriority,hasMain,id,content,topic open coding 1,topic open coding 2,topic open coding 3,sentiment open coding
0,"Victor Barbosa, Yardbarker",Mark Cuban wants to introduce Taylor Swift to Mavericks players,"If Taylor Swift's much-rumored romance with Kansas City Chiefs stud tight end Travis Kelce doesn't work out, there's one NBA owner who thinks he can play matchmaker for the pop-country superstar.",https://www.yardbarker.com/nba/articles/mark_cuban_wants_to_introduce_taylor_swift_to_mavericks_players/s1_13132_39318569,Yardbarker,sports,us,2023-09-28 15:44,FALSE,FALSE,0," If Taylor Swift's much-rumored romance with Kansas City Chiefs stud tight end Travis Kelce doesn't work out, there's one NBA owner who thinks he can play matchmaker for the pop-country superstar. /n Longtime Dallas Mavericks owner Mark Cuban told TMZ on Thursday that he'd like to introduce Swift to some of the players on the team. His reasoning behind the idea appears to show that he may not have the 33-year-old singer-songwriter's love life on the top of his mind, however. /nWatch out, #TravisKelce! #MarkCuban shoots his shot at #TaylorSwift ... in a way  https://t.co/OyBl6jNIbN pic.twitter.com/ocRuTBV3bo/n""Taylor Swift impacts the economy,"" Cuban said. ""She adds value everywhere she goes. ... Literally every city she brings her tours to, you can see the economy get a bump out of it. The NFL's gotta be loving this.""/nCuban did add that, while Swift's connection with Kelce is good for marketing, he believes the relationship is genuine./nKelce and Swift's relationship (whether romantic or not) has dominated headlines in recent weeks./nThe internet nearly exploded on Sunday afternoon when she was spotted at Arrowhead Stadium not only attending the Chiefs' Week 3 blowout victory against the Chicago Bears but sitting with the All-Pro's mother, Donna Kelce. The couple was also seen leaving the stadium together following Kansas City's 41-10 win./nIt was reported on Thursday that the ""Anti-Hero"" singer was expected to be in attendance for the Chiefs' Week 4 matchup against the New York Jets./nAny lack of excitement in the actual contest (presumably a Kansas victory) will surely be outweighed by Swift's primetime appearance at MetLife Stadium on ""Sunday Night Football.""/nMore must-reads:/nGet the latest news and rumors, customized to your favorite sports and teams. Emailed daily. Always free!",Dating,Dating,Dating,1
1,"Hugh McIntyre, Contributor",Taylor Swift Becomes The First Woman To Hit A Major Milestone On Spotify,August 2023 has turned out to be perhaps Swift's biggest month ever on Spotify.,https://www.forbes.com/sites/hughmcintyre/2023/08/29/taylor-swift-becomes-the-first-woman-to-hit-a-major-milestone-on-spotify/,Forbes,general,us,2023-08-29 13:42,TRUE,TRUE,1,"US singer-songwriter Taylor Swift poses on the red carpet upon arrival for the 2022 MTV Europe Music ... [+] Awards in Düsseldorf, on November 13, 2022. (Photo by Sascha Schuermann / AFP) (Photo by SASCHA SCHUERMANN/AFP via Getty Images)/nTaylor Swift has maintained her very significant presence on Spotify ever since her music reappeared on the platform a few years ago. Now, the accomplished singer-songwriter has made history on the streaming giant, with even Spotify itself celebrating her latest achievement./nIn a recent announcement on its social media platforms, Spotify proudly shared that Swift has officially become the first woman to amass an astounding 100 million monthly active listeners. This impressive feat means that over the course of the last month, a staggering 100 million distinct individuals from all parts of the globe have tuned in to enjoy at least one of the superstar's tracks./nWhile Swift may be the first woman to hit this remarkable milestone on the world's largest streaming platform, it's worth noting that, when considering all artists, she ranks second./nEarlier this year, The Weeknd secured the distinction of being the first musician to surpass the 100 million monthly listeners mark. In February, the Canadian pop and R&B sensation accomplished this groundbreaking feat, setting a new standard for streaming accomplishments. He now claims just under 110 million monthly listeners./nNumerous factors are currently contributing to Swift's exceptional performance on Spotify. The artist has always had a knack for attracting listeners, but August has proven to be particularly fruitful. Her most recent album, Speak Now (Taylor’s Version), which was released just a month ago, continues to enjoy robust streams. Additionally, her track ""Cruel Summer,"" from the 2019 album Lover, is currently among the platform's most-played songs./nMeanwhile, anticipation for the re-release of her earlier album 1989 this fall has sparked renewed interest in the original version as well. Some casual fans may be busy returning to that collection following her announcement that she’s re-recording it, as many of the songs featured on it have jumped in consumption./nAll of these events are helping Swift’s performance on Spotify, but it’s important to note that what’s most impressive is the fact that her music is reaching a larger audience than ever. The 100 million number being reported doesn’t specifically focus on those playing one tune and moving on or super fans streaming everything she’s released—it’s simply about the number of people tuning in. Her reach is expanding, and that’s impressive, considering how popular she has been for so many years./n",Career/achievement/streams,Achievements,Achievements,1
2,Jonah Valdez,Travis Kelce's ex-girlfriend says she's getting death threats from Taylor Swift's 'hypocritical' fans,"Travis Kelce's ex-girlfriend Maya Benberry said Taylor Swift's fans have been sending her death threats and called the fanbase ""aggressive"" and ""very hypocritical.""",https://www.latimes.com/entertainment-arts/story/2023-09-29/travis-kelce-ex-maya-benberry-death-threats-taylor-swift-fans,latimes,general,us,2023-09-29 21:42,TRUE,TRUE,2,"Travis Kelce’s former girlfriend, Maya Benberry,  said  Taylor Swift’s fans have sent her death threats since  she addressed the rumored romance between the NFL player and pop star. /nBenberry, who  met Kelce in 2016 on his E! dating  series, “Catching Kelce,” described Swift’s fanbase, known as Swifties, as “aggressive” and “very hypocritical,” in a Thursday interview with “Inside Edition.” The reality TV personality  said she’s faced backlash  after  implying that Kelce may cheat on Swift./nBenberry  told the Daily Mail  earlier this week that she wished Swift “the best of luck” in their romance, but also warned, “I wouldn’t be a girls’ girl if I didn’t advise her to be smart.” /n Music /nTaylor Swift and Travis Kelce’s rumored relationship has taken pop culture by storm. A sports writer and a Swiftie reporter sound off on what it all means./nSept. 28, 2023/n“I’m sure by now she has mastered the ability to see who is really there for her — and who is just using her,” she said./nShe went on to  repeat allegations that Kelce cheated on  her when they dated in 2016./n“Only time will tell, but like the saying always goes, once a cheater, always a cheater,” she continued./nDuring an interview with “Inside Edition” on Thursday, Benberry doubled down on her cheating allegations and  said she  received death threats from Swift’s fanbase./n“Swifties are aggressive, very negative, very hypocritical,” Benberry said. “It’s really crazy to me that someone I think is positive and really nice would have such a negative and angry fan base.” /nAfter outlasting 49 other contestants on Kelce’s dating show, Benberry and the now-two-time Super Bowl  champ dated for eight months, she said, adding that they loved each other and were thinking about marriage. However, the pair broke up  the following year. In May 2017, Benberry alleged in since-deleted tweets that Kelce had cheated on her with  sports broadcaster and model Kayla Nicole./n Entertainment & Arts /nKansas City Chiefs star Travis Kelce opens up about Taylor Swift watching him play Sunday. ‘It was definitely a game I’ll remember,’ he said./nSept. 27, 2023/nThough Kelce has yet to address the allegations, a source close to him told TMZ that Kelce  never cheated  on Benberry and called the statements, “A poor excuse of someone trying to get her 15 min of fame.” A representative for Kelce did not immediately respond to The Times’ request for comment. /nBenberry said in the “Inside Edition” interview that she was offended by the statement given to TMZ and said she felt Kelce and his camp were “laughing” and “mocking” her. /n“I’m not jealous or bitter about Taylor — she’s beautiful, she’s successful, we’re in two different lanes — my issue is more with Travis, in the sense of now you’re trying to turn me into a bitter person, or a liar, like I’m delusional, and I’m the furthest thing from that,” she said. /nBenberry also shared on X, formerly known as Twitter, a screenshot of a text message to someone she said worked at “Inside Edition,” in which she  wrote that the TV segment portrayed her as “some bitter Black woman that is attacking a guy because he’s dating Taylor Swift.”  She said her initial  goal for the sit-down was to shed light on the way her relationship with Kelce was edited and manipulated in the 2016 reality TV show. /n Entertainment & Arts /nSince Swift was spotted watching Travis Kelce at Sunday’s Chiefs game, many have wondered what it means for the NFL. But what about Kansas City?/nSept. 28, 2023/n“I learned a lot of lessons these past few days but I don’t regret at all on speaking my truth,” Benberry said in another tweet. /nInterest in  Kelce and Swift’s rumored romance exploded last weekend when  the “Lover” singer  attended  the Kansas City Chiefs-Chicago Bears game  at Arrowhead Stadium, cheering  on Kelce  alongside his mother and  friends. The pair were seen leaving the game together. /nKelce  recently talked about the  Grammy winner in the latest episode of  his podcast, “New Heights,” calling Swift  going to the game “pretty ballsy.” /n“I just thought it was awesome how everybody in the suite had nothing but great things to say about her, the friends and family,”  he told his brother, fellow NFL star and podcast co-host Jason Kelce. “She looked amazing. Everybody was talking about her in a great light and on top of that, the day went perfect for Chiefs fans, of course.”/nIt's a date/nGet our L.A. Goes Out newsletter, with the week's best events, to help you explore and experience our city./n You may occasionally receive promotional content from the Los Angeles Times./nFollow Us/nJonah Valdez is a reporter at the Los Angeles Times on the Fast Break entertainment news team. Before joining The Times as a member of the 2021-22 Los Angeles Times Fellowship class, he worked for the Southern California News Group, where he wrote award-winning features. His work can also be found at his hometown newspaper, the San Diego Union-Tribune, Voice of San Diego and San Diego Reader./n Music /nNov. 23, 2023/n Entertainment & Arts /nNov. 22, 2023/n Obituaries /nNov. 22, 2023/n Television /nNov. 22, 2023",Dating/Scandal,Dating,Dating,-1
3,TMZ Staff,Travis Kelce Arrives In Argentina Ahead of Taylor Swift Concert,Travis Kelce has touched down in Argentina -- the NFL superstar made his way to Buenos Aires in time to catch Taylor Swift's concert in just a few hours. There were rumblings TK -- who's currently enjoying his off week from his football duties --&hellip;,https://www.tmz.com/2023/11/10/travis-kelce-arrives-argentina-taylor-swift-concert/,TMZ,entertainment,us,2023-11-10 13:15,TRUE,TRUE,3,"update/n11:54 AM PT -- Huge bummer for Tayvis -- the singer's second Buenos Aires date was just postponed 'til Sunday due to rain./nUnclear how long Travis Kelce was planning to stay in town ... but we take it he'll just tune in to Saturday's show./nTaylor Swift released a statement on the decision to push back the gig ... saying she loves to perform in uncooperative weather, but didn't want to put her fans in harm's way./nGuess this clears her schedule for a date night with Travis!!/nTravis Kelce has touched down in Argentina -- the NFL superstar made his way to Buenos Aires in time to catch Taylor Swift's concert in just a few hours./nThere were rumblings TK -- who's currently enjoying his off week from his football duties -- was planning to make the nearly 13-hour trip to South America to watch his lady rock the stage ... and now there is proof he is the ultimate supportive boyfriend, with Daily Mail snapping pics of the Super Bowl champ at the airport./nAs we previously reported, the Chiefs tight end was spotted at Patrick Mahomes' charity event on Thursday ... electing to skip night one of T-Swift's international tour in order to be there for his bestie./nTaylor has attended four of Travis' games this season ... and now, it's his time to return the favor./nIt's currently 3:15 PM local time ... so Travis has a few hours to relax before dancin' and singin' like crazy./nOf course, this won't be TK's first ""Eras"" tour experience -- he saw her live at Arrowhead Stadium back in July, and famously detailed how he wanted to shoot his shot, but never got the opportunity./nFast forward to now ... and the two are the biggest couple in sports and entertainment./nFunny how life works./nOriginally Published -- 10:15 AM PT",Dating,Dating,Dating,1
4,Areeba Basharat,"‘Need Taylor Swift’: Moments After the Devastating Finish, Undaunted American Captain Zach Johnson Baffles Golf Fans","The first day out on the Italian greens turned out to be a nightmare for the US Ryder Cup Team. Not only did the Europeans script their dominance in the first half of the game with 4-0, but they also proved their potential in the second half of the game with a final 6.5-1.5. However,&#8230;The post ‘Need Taylor Swift’: Moments After the Devastating Finish, Undaunted American Captain Zach Johnson Baffles Golf Fans appeared first on EssentiallySports.",https://www.essentiallysports.com/golf-news-pga-tour-need-taylor-swift-moments-after-the-devastating-finish-undaunted-american-captain-zach-johnson-baffles-golf-fans-ryder-cup/,Essentially Sports,sports,us,2023-09-29 15:06,FALSE,TRUE,4,"Follow Us/nvia Reuters/nGolf – The 2023 Ryder Cup – Marco Simone Golf & Country Club, Rome, Italy –
September 26, 2023 Team USA captain Zach Johnson during a press conference ahead
of the 2023 Ryder Cup REUTERS/Guglielmo Mangiapane/nThe first day out on the Italian greens turned out to be a nightmare for the US Ryder Cup team. Not only did the Europeans script their dominance in the first half of the game with 4-0, but they also proved their potential in the second half of the game with a final score of 6.5-1.5. However, despite failing to shush the European audience with their skills, US Captain Zach Johnson seems to have his boys’ back./nAmerica’s Favorite Video Today/nSeemingly undaunted, the captain had words of appreciation to shower on his teammates. As the players prepare to redeem themselves and try to overpower the European squad, Zach Johnson’s words might come in handy. However, until now, this positive reinforcement hasn’t seemed to have the same effect on the fans. They can’t help but be baffled by the 47-year-old’s remarks./nADVERTISEMENT/nArticle continues below this ad/nWith zero matchup wins in their pocket until now, the American side looks completely run over by the home team. Where the European side had all its senior players displaying exceptional skills on the tricky course, the same could hardly be said about the US stars./nIn the morning foursomes, from World No. 1 Scottie Scheffler to the senior members of the side like Rickie Fowler and Jordan Spieth, no one could display their control of the game. None of the four pairings could even compete with their assigned opponents until the last 18th hole. If the foursomes were an indication, the afternoon four-ball worsened the scenario for the American men./nNovember 18, 2023 06:23 am EDT/nNovember 21, 2023 01:00 pm EDT/nNovember 22, 2023 09:01 pm EDT/nNovember 19, 2023 11:56 pm EDT/nNovember 23, 2023 11:39 pm EDT/nGet instantly notified of the hottest Golf stories via Google! Click on Follow Us and Tap the Blue Star./nFollow Us/nDespite grabbing 1 and a half points, the proper dominance of the US team was still too bleak to be noticed. Yet, despite a subpar performance by his side, captain Zach Johnson came forward to support his players. Through a tweet by NUCLRGOLF, Zach Johnson’s statement regarding the teammates came forth, stating, “Despite the scoreboard, I’m still extremely proud of what they’ve done.”/n?? “Despite the scoreboard I’m still extremely proud of what they’ve done.” —Zach Johnson/n— NUCLR GOLF (@NUCLRGOLF) September 29, 2023/n/nSeemingly, the golfer was referring to the slight comeback his team has made on the challenging greens. And while the leader’s backing appears to be great, the fans online seem hardly impressed by the American Ryder Cup side’s efforts. Putting forth their honest opinion, the golf lovers shared a common reaction of astonishment at Johnson’s unexpected support./n‘Unless His Game’: While America Misses Him, Tiger Woods’ Dark Belittling Rory
McIlroy Confession Resurfaces/nUnder the tweet of Zach Johnson’s statement, the golf fans seemed to have a unanimous response. From expressing utter astonishment at the faith the captain was displaying in his team to mentioning of what the team could have done better, people had multiple replies to put forward to the American side./nOne spectator in particular, referring to the underwhelming gameplay of the US team, commented about pop icon Taylor Swift’s presence at the biennial event being the only help Team USA could reach out to now. He wrote, “We need Taylor Swift.”/nWe need Taylor Swift./n— GOLF INJURY REPORT (@InjuryReportPGA) September 29, 2023/n/nOther fans mentioned how the team should have been inclined more toward experienced players like Dustin Johnson and Bryson DeChambeau, despite their connection to the controversial LIV Golf./nShould have picked DJ and Bryson/n— Joel Richardson (@joelrich4goblue) September 29, 2023/n/nThe golfer’s lack of winning spirit dissatisfied one viewer. Targeting Johnson’s selection, the fan called out the captain for being responsible for the current situation of the US team./nI see @ZachJohnsonPGA embracing the participation trophy. Well I guess when it’s your fault Team USA lost the tournament on day one, you’ve got nothing left but to hope they win one of his matchups/n— ArrowheadLoud (@ArrowheadLoud) September 29, 2023/n/nZach Johnson’s choice of words amused another fan. Picking on his “proud of what they’ve done” part of the statement, the golf lover replied in an arguably unimpressed tone:/nWhat have they done?/n— C???? ??????s ? (@ChuckDouglas_) September 29, 2023/n/nADVERTISEMENT/nArticle continues below this ad/nResonating the emotions of several other fellow fans, another viewer targeted Johnson for backing his members on the subpar display of skills. He expressed concern about the golfers having done nothing impressive to win the favor of their leader, commenting:/nProud of getting steam rolled and embarrassed?/n— nilla (@nilla_nate) September 29, 2023/n/nADVERTISEMENT/nArticle continues below this ad/nWhile the American side will look for a revival on Day 2 of the biennial tournament, the European side will be confident enough to continue their dominant lead. With that, do you agree with your fellow fans, questioning the confidence displayed by Zach Johnson? What about the backing of the captain for his experienced side? Let us know in the comments./nWatch this story | Tiger Woods’ Niece Once Took Fearless Stand to Change the Game/nThe Fan's Perspective/nEnjoyed Your Read? Let us know how likely you are to recommend EssentiallySports to your friends!/n1/n2/n3/n4/n5/nLeast Likely/nMost Likely/nSubmit/nADVERTISEMENT/nWritten by:/nAreeba Basharat/n413Articles/nOne take at a time/nEdited by:/nSheldon Pereira/nADVERTISEMENT/nADVERTISEMENT",Sports/Unrelated,Unrelated,Unrelated,1
5,"Eric Smithling, Yardbarker",NFL hoping Taylor Swift can help build league's audience,"If the league had its way, Swift would attend games every week.",https://www.yardbarker.com/nfl/articles/nfl_hoping_taylor_swift_can_help_build_leagues_audience/s1_13132_39326891,Yardbarker.com,general,us,2023-09-30 15:12,FALSE,FALSE,5,"The NFL is the only one happier than Travis Kelce over his blossoming friendship with Taylor Swift./nThe music superstar made waves last week when she attended the Kansas City Chiefs' 41-10 win over the Chicago Bears after Kelce invited her to the game. Their connection could be part of the NFL's end game. /n""She's invited to any game that she wants to come to. It's an open invitation,"" said Ian Trombetta, the senior vice president of social and influencer marketing for the NFL, per USA Today's Kayla Jimenez./nSocial media lit up last weekend due to Swift's appearance at the Chiefs home game. It was also a major boost for Fox, which broadcast the game. The 4:25 p.m. ET time window it aired in scored the highest rating for the league in Week 3./nIf the league had its way, Swift would attend games every week./nUnfortunately for the NFL, Swift returns on her ""The Eras Tour"" beginning on Nov. 9 in Buenos Aires. The South American leg of her tour ends on Nov. 26, so she could be back to give the league another viewership boost in December when postseason races heat up./nAs Jimenez notes, ""Swift's appearance and Kelce's invitation may have aided in solving a long-running challenge for the National Football League: attracting Americans from Generation Z, including young American women and girls.""/nAccording to Jimenez, Trombetta acknowledged the league's difficulty in reaching young audiences, noting, ""Gen Z is especially very elusive since they're using media in ways that are not as traditional."" /nTrombetta added, ""We've been really leaning in and reaching out to more casual audiences, or people who are not watching football every single moment or watching every week... We're finding adjacencies in music, gaming and fashion.""/nThe NFL is already a massive organization that made nearly $12 billion in revenue in 2022. Still, if it can build its audience through Swift, whose latest tour has an estimated economic impact of $5 billion in the U.S., it will only make the sport more popular./nMore must-reads:/nGet the latest news and rumors, customized to your favorite sports and teams. Emailed daily. Always free!",Sports,Sports,Social impact,1
6,Perez Hilton,Did Travis Kelce Hint He WILL Be At One Of Taylor Swift’s South America Shows?!,"Taylor Swift is getting back in tour mode &#8212; and she may have company! The Love Story singer is set to hit the ground running with the international leg of her Eras Tour on Thursday in Buenos Aires, Argentina, and it sounds like the Kansas City Chiefs tight end ain&#8217;t opposed to joining her. Related: [...]Read More...The post Did Travis Kelce Hint He WILL Be At One Of Taylor Swift’s South America Shows?! appeared first on Perez Hilton.",https://perezhilton.com/travis-kelce-hint-taylor-swift-south-america-eras-tour/,perezhilton,general,us,2023-11-08 12:51,TRUE,TRUE,6,"Taylor Swift is getting back in tour mode — and she may have company!/nThe Love Story singer is set to hit the ground running with the international leg of her Eras Tour on Thursday in Buenos Aires, Argentina, and it sounds like the Kansas City Chiefs tight end ain’t opposed to joining her./nRelated: Kourtney Kardashian Is Home From The Hospital After Welcoming Son With Travis Barker!/nDuring a Wednesday episode of his New Heights podcast, the 34-year-old responded to a question his brother Jason asked about whether he has anything that he’s “looking forward to going to” — and Trav teased he’s considering heading somewhere sunny. He said:/n“No, not really … I might just say ‘f**k it’ and just go somewhere nice, I don’t know. My skin’s getting real pale. I gotta go somewhere sunny.”/nOoo! Jason asked if he would be heading “someplace south,” and Travis responded:/n“Closer to the equator.”/nOkayyy, loverboy!!! Watch the full podcast episode (below):/n/nAs we said, Taylor is set to hit Argentina on Thursday for her concert tour, so we don’t necessarily think it’s just a coincidence Travis is considering going south as well. As Perezcious readers may recall, a source said this to ET last month about Travis possibly popping up in Argentina to visit Taylor:/n“Taylor starts her international tour in November, and Travis is planning to be there to spend time with her. Travis and Taylor are very serious about their careers, and the two bond over that and want to show support for each other whenever they can.”/nSoooo yeah. Here we are!! At the end of the way, we guess he didn’t take it personally that she didn’t go to Germany with him!/nThoughts, Perezcious readers?? Let us know down in the comments!/n[Images via Taylor Swift & Experian/YouTube]",Dating,Dating,Dating,1
7,Alex Hopper,5 Things We Can Expect from Taylor Swift’s ‘Eras Tour’ Movie,"Taylor Swift&#8216;s Eras Tour has been a mainstay in pop culture over the last year. Those who didn&#8217;t catch Swift along her lauded trek now have a chance to witness all the action when the movie version of the tour premieres on October 13. While we eagerly wait for the movie, check out five things [&#8230;]The post 5 Things We Can Expect from Taylor Swift&#8217;s &#8216;Eras Tour&#8217; Movie appeared first on American Songwriter.",https://americansongwriter.com/5-things-we-can-expect-from-taylor-swifts-eras-tour-movie/,americansongwriter,general,us,2023-10-05 15:32,FALSE,FALSE,7,"



/n



/n


by

Alex Hopper


October 5, 2023, 2:32 pm 


/nTaylor Swift‘s Eras Tour has been a mainstay in pop culture over the last year. Those who didn’t catch Swift along her lauded trek now have a chance to witness all the action when the movie version of the tour premieres on October 13. While we eagerly wait for the movie, check out five things we can expect from the release below. /n[RELATED: 7 of Taylor Swift’s Favorite Songs]/nSince we know which shows were filmed for use in the movie, we have a short list of which surprise songs could appear on the big screen. The first three of six shows in Los Angeles were captured for the concert film. Among the options from those shows are “I Can See You,” “Maroon,” “Our Song,” “You Are in Love,” “Death by a Thousand Cuts,” and “You’re on Your Own, Kid.” It’s a stacked list. Any way you cut it, the Swifties will be pleased. /nHAIM was one of the featured opening acts for Swift’s Los Angeles shows. Each night of her six-night stand, the trio joined Swift for a rendition of their evermore collaboration, “no body, no crime.” If you had FOMO over missing Swift and HAIM ham it up on stage together, fret not. One of their performances will likely be featured in the movie. /nWhile much of the Eras Tour is focused on Swift’s upbeat anthems, there are a few emotional moments throughout. From “champagne problems” to “marjorie,” there is a good chance some tears could be shed. Swift herself has gotten emotional over the course of the tour performing those songs. We can only imagine how affecting they will be in high def. /nJust a few days after the release of the movie, Swift will share 1989 (Taylor’s Version). The hype for her latest re-recording project will likely only grow after watching Swift perform cuts from the blockbuster record. Across the setlist, Swift plays “Blank Space,” “Style,” “Shake It Off,” “Bad Blood,” and “Wildest Dreams.” The anthems are undisputed bangers and are guaranteed to get fans excited for the updated versions. /nThe Eras Tour movie doesn’t abide by typical movie-going standards. There will be no silencing your phone or sitting quietly so as to not disturb your fellow audience members. Swift hopes the movie will be an extension of the actual tour. That means the seats will be packed with passionate fans, screaming at the top of their lungs in over-the-top outfits. If you aren’t Swift’s biggest fan, perhaps avoid your local theater for a few days, it will officially become Swiftie territory as of October 13. /nA post shared by Taylor Swift (@taylorswift)/n(Allen J. Schaben / Los Angeles Times via Getty Images)/nSee more/nOnly members can comment. Become a member. Already a member? Log In./n
November 23, 2023, 12:30 pm /n
November 23, 2023, 12:00 pm /n
November 23, 2023, 11:30 am /n
November 23, 2023, 11:00 am /n
November 23, 2023, 10:30 am /n
November 23, 2023, 10:00 am /n
August 24, 2023, 7:00 pm /n
March 20, 2023, 8:54 am /n
January 4, 2022, 11:55 am /n
August 28, 2012, 9:03 am /n
April 1, 2008, 10:30 am /n
November 23, 2023, 5:47 pm /n

			Read More		
/n

			Read More		
/n

			Read More		
/n

			Read More		
/n

			Read More		
/n

			Read More		
/n/n© 2023 American Songwriter",Career/Works,Works,Filmography,1
8,Michael Saltsman,Taylor Swift should ignore the hollow hysterics of Unite Here Local 11 and continue shows as normal,"The selfish union and politically impotent Eleni Kounalakis should be ignored, writes Michael Saltsman.",https://www.dailybreeze.com/2023/08/02/taylor-swift-should-ignore-the-hollow-hysterics-of-unite-here-local-11-and-continue-shows-as-normal/,dailybreeze,general,us,2023-08-02 12:16,FALSE,TRUE,8,"Thousands of spirited Swifties will descend on Los Angeles starting this weekend, for a six-night run of Taylor’s ERAS tour at SoFi Stadium. The fans will bring with them millions of dollars in needed economic activity for Inglewood and the surrounding community./nThe only group unhappy about this? Self-interested hotel union Unite Here Local 11./nFor related news, see: Politicians urge Taylor Swift to postpone LA concerts in solidarity with striking hotel workers/nIn a full-page ad in the Los Angeles Times, the union called on Swift to postpone her show in “solidarity” with striking hotel workers. Several of the union’s elected allies have predictably chimed in, arguing that Swift should respect the union’s cause. Lieutenant Governor Eleni Kounalakis was shameless enough to join the protest, despite having just seen Swift in Santa Clara the weekend prior./nNotably missing from the list of boycott endorsers: Inglewood Mayor James Butts, not to mention the countless small businesses and disappointed fans who would lose out if Swift skipped SoFi./nThe union’s demand is an unusual one: Swift herself is not in the middle of a labor dispute. Indeed, Swift made news in recent days by awarding her road crew up to $100,000 each as a personal thank you for the hard work during the tour. She’s also partnered with local charitable organizations on her tour stops, such as a food bank in Santa Clara./nFor related news, see: Hahn, Kounalakis urge Swift to call off SoFi concerts in support of striking hotel workers/nIt’s hard to imagine a more pro-worker perspective, and seemingly one that Los Angeles would welcome to town./nBut according to Local 11’s twisted logic, Swift is obligated to reschedule because her visiting fans will be staying at LA-area hotels, including some of the hotels where workers may currently be on strike. This selfish perspective is on-brand for Local 11, which in recent weeks has made news for deliberately disrupting a wedding and 4th of July tourism to advance its goals during the strike./nRelated Articles
Opinion |  

			Matt Fleming: Thank you, readers, for reading my columns		


Opinion |  

			Giving thanks for all of our freedoms		


Opinion |  

			Happy Thanksgiving: Political Cartoons		


Opinion |  

			A Thanksgiving lesson from grateful and prepared American families		


Opinion |  

			Judge Andrew Napolitano: No one should be thankful for the size and scope of government		

Set aside for a minute the flawed argument that the entire LA economy should suffer because of labor disputes at a handful of union properties. The fault for the ongoing strike lies with union leadership, not the hotels and certainly not the excited Taylor fans coming to Los Angeles. The union has stubbornly prolonged the dispute with demands that hotels support a Los Angeles ballot measure that would require them to house the homeless alongside paying guests./nWith a potential transformation of these hotels into makeshift homeless shelters, good luck getting tourists to stay there for Taylor’s next tour stop in Los Angeles./nFor related news, see: Eleni Kounalakis hypocritically calls for Taylor Swift to cancel shows after attending concert/nAlso on the list of demands is a new hotel tax of seven percent, which guests would pay into a trust fund controlled by the union. The union claims the money would go towards affordable housing, but the language of the fund gives it broad latitude to spend the money on “other efforts” as well./nAs of this writing, Swift seems poised to ignore the union’s unreasonable demands, picking the local economy and thousands of fans over the tantrums of Kurt Peterson and his cronies at Local 11. The tour dates will no doubt be a success, and should also serve as a lesson to other celebrities and politicians who face a Local 11 call for a boycott: There’s no harm in shaking off the unreasonable demands of Los Angeles labor unions./nMichael Saltsman is Executive Director at the Employment Policies Institute",Politics/Tour,Tour,Tour,1
9,,"Taylor Swift cheers on Travis Kelce at Sunday Night Football (again), joining Ryan Reynolds, Hugh Jackman and other stars","Taylor Swift was clearly ready for some more football on Sunday, as were Deadpool, Wolverine and Ant-Man.",https://www.cnn.com/2023/10/01/entertainment/taylor-swift-travis-kelce-chiefs-jets/index.html,CNN,general,us,2023-10-01 22:41,TRUE,TRUE,9,"
      Taylor Swift was clearly ready for some more football on Sunday, as were Deadpool, Wolverine and Ant-Man. 
  /n
      More on the Marvel stars in a moment.
  /n
      As was highly expected/speculated, Swift was in the crowd at MetLife Stadium in New Jersey on Sunday night to cheer on tight end Travis Kelce and the Kansas City Chiefs as they play on the road against the New York Jets.
  /n
      Swift, who has been recently getting to know Kelce and sparking the creativity of brand marketers everywhere, was shown on the NBC broadcast about 30 minutes prior to the game, alongside Blake Lively, Lively’s husband Ryan Reynolds (of “Deadpool” fame) and Sophie Turner.
  /nHugh Jackman, Ryan Reynolds and Shawn Levy tonight at New York Jets football game ?? pic.twitter.com/d5T55C4BpH/n
      Other stars photographed at the game include “Free Guy” director Shawn Levy, with Reynolds and Hugh Jackman (Wolverine of the “X-Men” movies), Paul Rudd (“Ant-Man”), and for those sorely missing their Sunday “Succession” fix, actor Jeremy Strong. 
  /nThe eldest boy has arrived. pic.twitter.com/PV0qEdwT7w/n
      Last week, Swift was at Arrowhead Stadium in Kansas City, sitting next to Kelce’s mother, Donna, as they watched the Chiefs achieve a 41-10 victory over the Chicago Bears. After the game, the “Cruel Summer” singer was spotted leaving the stadium with Kelce.
  /n
      Anticipation the 12-time Grammy Award winner would make another appearance at this weekend’s game sent ticket prices surging more than 40%, according to TickPick, an online marketplace.
  /n
Taylor Swift's attendance at Chiefs game brings a spike in Travis Kelce jersey sales
/n
      Swift’s NFL interest has been a hit in more ways than one. Sales of Kelce’s jersey “saw a nearly 400% spike in sales” on Monday, Fanatics previously told CNN.
/n
      Even TV ratings have seen a boost. Last weekend’s game was the “highest among female demographics across” various age groups, according to Variety.
  /n
      The final score was Chiefs 23 - 20 over the Jets.
  /n
      With Swift in the audience, however, everybody won.
  ",Dating/Gossip,Dating,Dating,1
